#       Ef     T [K]            N         DOS(Ef)           S             s/t               
   0.19535   50.0000      7.18654871  0.10367155E+03  0.35288872E-06  0.44791871E+21 
   0.19535  100.0000      7.18654516  0.10386861E+03  0.95161005E-06  0.44650443E+21 
   0.19535  150.0000      7.18644396  0.10418505E+03  0.12966957E-05  0.44624494E+21 
   0.19535  200.0000      7.18620694  0.10449336E+03  0.16732701E-05  0.44613906E+21 
   0.19535  250.0000      7.18583102  0.10478008E+03  0.21028510E-05  0.44625119E+21 
   0.19535  300.0000      7.18533997  0.10499602E+03  0.25607245E-05  0.44658290E+21 
   0.19535  350.0000      7.18477461  0.10511645E+03  0.30247535E-05  0.44712185E+21 
   0.19535  400.0000      7.18417905  0.10514146E+03  0.34766052E-05  0.44784913E+21 
   0.19535  450.0000      7.18359153  0.10508490E+03  0.39010528E-05  0.44874165E+21 
   0.19535  500.0000      7.18304064  0.10496560E+03  0.42859995E-05  0.44977496E+21 
   0.19535  550.0000      7.18254516  0.10480245E+03  0.46225413E-05  0.45092558E+21 
   0.19535  600.0000      7.18211541  0.10461204E+03  0.49048114E-05  0.45217217E+21  
   0.19535  650.0000      7.18175517  0.10440788E+03  0.51296242E-05  0.45349605E+21  
   0.19535  700.0000      7.18146358  0.10420040E+03  0.52960040E-05  0.45488108E+21  
   0.19535  750.0000      7.18123663  0.10399723E+03  0.54046868E-05  0.45631346E+21  
   0.19535  800.0000      7.18106839  0.10380373E+03  0.54576528E-05  0.45778138E+21  
   0.19585   50.0000      7.16067850  0.10336246E+03  0.82244420E-06  0.44470893E+21 
   0.19585  100.0000      7.16056763  0.10398434E+03  0.10391732E-05  0.44505273E+21 
   0.19585  150.0000      7.16037815  0.10435867E+03  0.13564653E-05  0.44493263E+21 
   0.19585  200.0000      7.16005609  0.10472610E+03  0.16882630E-05  0.44491950E+21 
   0.19585  250.0000      7.15960340  0.10505058E+03  0.20613994E-05  0.44506583E+21 
   0.19585  300.0000      7.15905607  0.10528193E+03  0.24602573E-05  0.44540437E+21 
   0.19585  350.0000      7.15846067  0.10539912E+03  0.28675326E-05  0.44594088E+21 
   0.19585  400.0000      7.15786068  0.10540740E+03  0.32678437E-05  0.44666449E+21 
   0.19585  450.0000      7.15729023  0.10532568E+03  0.36474104E-05  0.44755581E+21 
   0.19585  500.0000      7.15677269  0.10517706E+03  0.39944573E-05  0.44859217E+21 
   0.19585  550.0000      7.15632171  0.10498352E+03  0.42997278E-05  0.44975089E+21 
   0.19585  600.0000      7.15594318  0.10476370E+03  0.45566892E-05  0.45101088E+21 
   0.19585  650.0000      7.15563736  0.10453236E+03  0.47614020E-05  0.45235331E+21  
   0.19585  700.0000      7.15540068  0.10430053E+03  0.49121665E-05  0.45376169E+21  
   0.19585  750.0000      7.15522718  0.10407609E+03  0.50090737E-05  0.45522173E+21  
   0.19585  800.0000      7.15510961  0.10386438E+03  0.50535506E-05  0.45672105E+21  
   0.19635   50.0000      7.13474799  0.10426602E+03  0.34658479E-06  0.44397901E+21 
   0.19635  100.0000      7.13453727  0.10428378E+03  0.10713758E-05  0.44351661E+21 
   0.19635  150.0000      7.13425552  0.10464092E+03  0.13736112E-05  0.44358722E+21 
   0.19635  200.0000      7.13383702  0.10504105E+03  0.16814473E-05  0.44369293E+21 
   0.19635  250.0000      7.13330055  0.10538304E+03  0.20106252E-05  0.44389742E+21 
   0.19635  300.0000      7.13269548  0.10561000E+03  0.23557447E-05  0.44426331E+21 
   0.19635  350.0000      7.13207300  0.10570628E+03  0.27080397E-05  0.44481345E+21 
   0.19635  400.0000      7.13147448  0.10568369E+03  0.30569238E-05  0.44554530E+21 
   0.19635  450.0000      7.13092868  0.10556650E+03  0.33908719E-05  0.44644373E+21 
   0.19635  500.0000      7.13045269  0.10538156E+03  0.36988342E-05  0.44748855E+21 
   0.19635  550.0000      7.13005434  0.10515327E+03  0.39714431E-05  0.44865849E+21 
   0.19635  600.0000      7.12973470  0.10490165E+03  0.42016593E-05  0.44993325E+21 
   0.19635  650.0000      7.12949022  0.10464210E+03  0.43848946E-05  0.45129430E+21  
   0.19635  700.0000      7.12931455  0.10438586E+03  0.45187920E-05  0.45272516E+21  
   0.19635  750.0000      7.12919977  0.10414070E+03  0.46028358E-05  0.45421131E+21  
   0.19635  800.0000      7.12913731  0.10391167E+03  0.46379162E-05  0.45574005E+21
